,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty
4641,Woodbury,CT,,,,0.502,0.485,6559.0,,,,,,,,,,,,
4642,Woodbury,VT,,,,0.333,0.632,589.0,,,,,,,,,,,,
4643,Woodford,VT,,,,0.49,0.485,196.0,,,,,,,,,,,,
4644,Woodland,ME,,,,0.618,0.361,662.0,,,,,,,,,,,,
4645,Woodstock,CT,,,,0.486,0.492,5180.0,,,,,,,,,,,,
4646,Woodstock,ME,,,,0.582,0.401,918.0,,,,,,,,,,,,
4647,Woodstock,NH,,,,0.424,0.559,858.0,,,,,,,,,,,,
4648,Woodstock,VT,,,,0.191,0.78,2109.0,,,,,,,,,,,,
4649,Woodville,ME,,,,,,0.0,,,,,,,,,,,,
4650,Woolwich,ME,,,,0.493,0.482,2153.0,,,,,,,,,,,,
4651,Woonsocket,RI,,,,0.454,0.529,13789.0,,,,,,,,,,,,
4652,Worcester,VT,,,,0.2,0.744,624.0,,,,,,,,,,,,
4653,Worthington,MA,,,,,,0.0,,,,,,,,,,,,
4654,Wrentham,MA,,,,0.427,0.544,7764.0,,,,,,,,,,,,
4655,Yarmouth,MA,,,,0.389,0.59,15305.0,,,,,,,,,,,,
4656,Yarmouth,ME,,,,0.226,0.753,6358.0,,,,,,,,,,,,
4657,Out of AL,AL,,,,,,,0.0,0.0,,,,,,,,,,
4658,Unassigned,AL,,,,,,,0.0,0.0,,,,,,,,,,
4659,Aleutians East,AK,,,,,,,16.0,0.0,,,,,,,,,,
4660,Aleutians West,AK,,,,,,,100.0,0.0,,,,,,,,,,
4661,Anchorage,AK,,,,,,,8558.0,50.0,,,,,,,,,,
4662,Bethel,AK,,,,,,,486.0,1.0,,,,,,,,,,
4663,Bristol Bay,AK,,,,,,,0.0,0.0,,,,,,,,,,
4664,Bristol Bay plus Lake and Peninsula,AK,,,,,,,113.0,0.0,,,,,,,,,,
4665,Denali,AK,,,,,,,31.0,0.0,,,,,,,,,,
4666,Dillingham,AK,,,,,,,61.0,0.0,,,,,,,,,,
4667,Fairbanks North Star,AK,,,,,,,2297.0,16.0,,,,,,,,,,
4668,Haines,AK,,,,,,,13.0,0.0,,,,,,,,,,
4669,Hoonah-Angoon,AK,,,,,,,0.0,0.0,,,,,,,,,,
