Belmont,OH,0.679,0.283,30537,0.71,0.277,32534,885,27,68889,35167,33722,0.9,93,4.1,0.2,0.4,0,14.1
Beltrami,MN,0.506,0.408,21316,0.505,0.473,24131,1016,11,45847,22775,23072,2.2,72.5,0.9,20.4,0.8,0.1,19
Ben Hill,GA,0.63,0.354,5923,0.627,0.365,6560,887,34,17272,8259,9013,6,56.5,36.2,0,0.2,0,30.4
Benewah,ID,0.74,0.186,4192,0.78,0.197,4972,188,3,9050,4568,4482,3.4,84.7,0.2,8.1,1,0.2,15.8
Bennett,SD,0.58,0.359,1149,0.587,0.394,1183,220,5,3440,1567,1873,7.3,31,0.2,47.2,0.2,0,38.1
Bennington,VT,0.362,0.584,16345,0.349,0.616,7096,142,1,36054,17689,18365,1.8,94.7,0.8,0.1,0.4,0,12.8
Benson,ND,0.478,0.434,1940,0.558,0.419,1961,557,10,6875,3520,3355,0.9,41.3,0,55.7,0.1,0,33.3
Bent,CO,0.616,0.307,1892,0.659,0.324,2229,18,0,5806,3767,2039,32,60.8,6.1,0.5,0.4,0,24.5
Benton,AR,0.629,0.289,96556,0.618,0.352,119166,8619,125,251823,124632,127191,16.3,74.2,1.6,1.4,3.7,0.5,10.5
Benton,IA,0.601,0.341,13690,0.628,0.352,14627,733,4,25646,12786,12860,1.4,96.6,0.7,0.1,0.3,0,8.7
Benton,IN,0.706,0.235,3654,0.731,0.245,4115,123,1,8685,4349,4336,5.1,92.8,0.9,0,0.2,0,14.9
Benton,MN,0.646,0.283,19911,0.647,0.328,22219,1134,14,39360,19652,19708,2.2,91.5,2.8,0.3,1.1,0,14.1
Benton,MO,0.753,0.211,9584,0.774,0.208,10478,504,7,18918,9308,9610,1.9,95.3,0.4,0.4,0.1,0,18.6
Benton,MS,0.561,0.429,3996,0.6,0.39,4257,376,11,8306,4257,4049,2.5,60.2,36.6,0,0,0,20.2
Benton,OR,0.286,0.624,45577,0.282,0.679,52719,465,6,88249,44598,43651,7.1,81.3,1,0.5,6.6,0.3,20.7
Benton,TN,0.746,0.233,6322,0.781,0.21,7250,441,10,16154,7794,8360,2.2,93.2,3.4,0.3,0,0,22.3
Benton,WA,0.597,0.329,70499,0.592,0.377,100997,5385,135,190529,95438,95091,20.8,71.6,1.4,0.6,2.5,0.1,13.4
Benzie,MI,0.542,0.402,10221,0.538,0.447,12259,145,2,17462,8694,8768,2.4,93.9,0.3,1.4,0.4,0,10
Bergen,NJ,0.425,0.545,383965,0.408,0.578,448647,25526,2063,937920,454204,483716,18.9,57.8,5.3,0.1,16.2,0,7.2
Berkeley,SC,0.56,0.386,78919,0.549,0.433,104458,6232,95,204632,101773,102859,6.3,64,23.9,0.4,2.3,0.1,12.8
Berkeley,WV,0.66,0.287,42770,0.652,0.327,49146,1692,18,111610,54961,56649,4,84.6,7.2,0.1,1.1,0.1,13
Berks,PA,0.529,0.427,175934,0.534,0.452,198260,9648,425,415500,204283,211217,19.6,73.2,4.1,0.1,1.4,0,13.6
Berkshire,MA,0.26,0.675,64507,,,,789,52,127751,61741,66010,4.3,89,2.6,0.2,1.6,0,11.3
Bernalillo,NM,0.345,0.522,272004,0.367,0.609,315332,11859,212,674855,330743,344112,49.5,39.5,2.5,4,2.3,0.1,18
Berrien,GA,0.824,0.159,6563,0.829,0.164,7743,503,14,19014,9297,9717,4.9,82.3,10.8,0.2,1,0,23.7
Berrien,MI,0.538,0.41,71882,0.528,0.454,82378,2985,86,154948,75835,79113,5.2,75.1,14.6,0.3,1.9,0,17.2
Bertie,NC,0.371,0.622,9380,0.39,0.604,9676,737,20,19913,10057,9856,2.1,34.3,61.6,0.6,0.6,0,22
Bexar,TX,0.41,0.545,586038,0.402,0.583,756021,66064,1414,1892004,932577,959427,59.8,28.4,7,0.2,2.6,0.1,16.4
Bibb,AL,0.77,0.214,8748,0.784,0.207,9573,878,15,22580,12251,10329,2.4,74.6,22,0.4,0,0,15.2
Bibb,GA,0.387,0.589,58327,0.375,0.614,70802,6707,200,153923,72312,81611,3.2,39.3,54,0.2,1.9,0,26.7
Bienville,LA,0.536,0.447,7005,0.552,0.435,7050,623,35,13806,6692,7114,1.7,54.3,41.5,0.1,0,0,25.3
Big Horn,MT,0.44,0.494,4168,0.468,0.514,4669,1400,38,13290,6566,6724,5.6,27.7,0.1,65,0.1,0,26.8
Big Horn,WY,0.801,0.117,5079,0.836,0.137,5752,263,7,11920,6015,5905,8.8,88.2,0.6,0.9,0.4,0.1,13
Big Stone,MN,0.589,0.337,2729,0.627,0.354,2972,177,1,5039,2489,2550,1.4,98,0.3,0,0,0,11.7
Billings,ND,0.831,0.098,592,0.852,0.113,635,34,0,983,566,417,4.1,94.4,0.9,0.6,0,0,10.3
