county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Calaveras,CA,45057,22292,22765,11.5,82,0.6,0.9,1.2,0.5,12.8
Colusa,CA,21479,11157,10322,58.4,36.3,0.9,1.1,1.5,0.1,14
Contra Costa,CA,1123678,548675,575003,25.3,44.9,8.3,0.2,15.8,0.5,9.8
Del Norte,CA,27442,15008,12434,19.2,62.8,1.8,7.2,2.7,0.1,23.2
El Dorado,CA,185015,92304,92711,12.6,78.5,0.9,0.6,4.2,0.2,9.8
Fresno,CA,971616,484667,486949,52.4,30.2,4.7,0.4,9.9,0.1,25.4
Glenn,CA,27935,14213,13722,40.8,52.5,0.8,1.7,2.6,0.3,19.6
Humboldt,CA,135490,67508,67982,11.1,74.9,1,4.6,2.9,0.3,20.8
Imperial,CA,179957,91963,87994,83.4,11.3,2.3,0.6,1.3,0.1,23.8
Inyo,CA,18195,9172,9023,21.4,63.5,0.9,10.8,1.5,0.2,10.2
Kern,CA,878744,450393,428351,52.2,35.4,5.1,0.5,4.5,0.1,22.6
Kings,CA,150183,82982,67201,53.7,33.1,5.9,0.8,3.6,0.2,20.9
Lake,CA,64095,31788,32307,19.4,71.7,2.1,3.2,1.4,0,22.8
Lassen,CA,31470,20786,10684,18.5,66.1,8.6,2.9,1.5,0.7,14.6
Los Angeles,CA,10105722,4979641,5126081,48.4,26.5,7.9,0.2,14.3,0.2,17
Madera,CA,154440,74583,79857,56.9,35.1,3.1,1.1,2,0.1,22.1
Marin,CA,260814,127423,133391,15.9,71.5,2.1,0.1,5.7,0.1,8.1
Mariposa,CA,17658,8863,8795,10.6,81,1.2,2.4,1,0.3,15.1
Mendocino,CA,87497,43668,43829,24.5,65.9,0.6,3.3,1.7,0.2,19.1
Merced,CA,267390,135045,132345,58.2,28.8,3,0.3,7.3,0.1,23.3
Modoc,CA,9017,4659,4358,14.6,78,0.7,4,1.1,0.1,18.1
Mono,CA,14058,7433,6625,27.1,66.1,0.4,2.2,2,0,9.9
Monterey,CA,433168,221016,212152,57.9,30.6,2.5,0.2,5.6,0.5,14.7
Napa,CA,141005,70311,70694,33.7,53.2,2,0.3,7.8,0.2,8.2
Nevada,CA,98838,48732,50106,9.2,85.4,0.5,0.7,1.1,0.1,12.1
Orange,CA,3155816,1558245,1597571,34.2,41.4,1.6,0.2,19.5,0.3,12.1
Placer,CA,374985,183021,191964,13.6,73.8,1.4,0.3,6.8,0.1,8.2
Plumas,CA,18724,9432,9292,8.5,83.5,0.9,1.8,0.8,0.3,13.3
Riverside,CA,2355002,1171711,1183291,48,36.6,6,0.4,6.1,0.3,15.6
Sacramento,CA,1495400,730680,764720,22.8,45.7,9.5,0.4,15.1,1.1,16.7
San Benito,CA,58671,29208,29463,58.9,35.6,0.7,0.3,2.7,0.2,9.7
San Bernardino,CA,2121220,1055170,1066050,52.3,29.8,8,0.3,6.7,0.3,18.2
San Diego,CA,3283665,1651147,1632518,33.4,46.2,4.7,0.4,11.5,0.4,13.3
San Francisco,CA,864263,440633,423630,15.3,40.8,5.1,0.2,33.9,0.3,11.7
San Joaquin,CA,724153,360247,363906,40.8,33.2,6.7,0.2,14.8,0.5,17.1
San Luis Obispo,CA,280119,142182,137937,22.2,69.4,1.8,0.4,3.6,0.1,13.8
San Mateo,CA,763450,376145,387305,24.9,39.9,2.3,0.1,27.2,1.4,7.3
Santa Barbara,CA,442996,221955,221041,44.8,45.3,1.7,0.3,5.2,0.1,15.4
Santa Clara,CA,1911226,963317,947909,26.1,32.6,2.4,0.2,34.9,0.3,8.6
Santa Cruz,CA,273263,135654,137609,33.3,57.8,0.8,0.2,4.4,0.1,14.7
Shasta,CA,178919,87753,91166,9.6,80.4,1.1,2.2,2.9,0.1,18.1
Sierra,CA,2885,1488,1397,10.1,87,0.1,1,0,0,12.3
Siskiyou,CA,43530,21706,21824,12,77.2,1.5,2.9,1.6,0.3,20.7
Solano,CA,434981,216074,218907,25.8,39,13.8,0.3,14.8,0.9,11.5
Sonoma,CA,500943,245381,255562,26.4,63.8,1.4,0.5,3.9,0.3,10.7
Stanislaus,CA,535684,264824,270860,45,43.4,2.5,0.4,5.4,0.6,17.2
Sutter,CA,95583,47613,47970,30.2,47.3,1.8,0.7,15.1,0.4,16.7
Tehama,CA,63247,31452,31795,24.2,69.2,0.6,1.5,1.4,0,20.9
Trinity,CA,13037,6603,6434,7.2,82.8,0.8,4.3,1.1,0.9,19.9
Tulare,CA,458809,229488,229321,63.6,29.5,1.3,0.7,3.2,0.1,27.1
Tuolumne,CA,53899,28029,25870,11.8,80.8,1.7,1.3,1.1,0.2,13.6
Ventura,CA,847834,419536,428298,42.3,46.1,1.6,0.3,7,0.1,10.3
Yolo,CA,212605,103617,108988,31.4,47.5,2.2,0.3,13.6,0.4,19.4
Yuba,CA,74644,38081,36563,27.4,56.3,3.2,1,6.3,0.3,18.5
Adams,CO,487850,245840,242010,39.3,51.1,3,0.5,3.8,0.1,12.2
Alamosa,CO,16345,8085,8260,45.8,48.6,1.6,1.3,1,0.2,27.8
Arapahoe,CO,626612,309190,317422,18.9,61.3,10.2,0.3,5.6,0.2,9.9
Archuleta,CO,12592,6400,6192,18.3,76.7,1.1,2.1,0.7,0,11.6
Baca,CO,3581,1732,1849,10.5,85.7,1.5,1.1,0,0,19.5
Bent,CO,5806,3767,2039,32,60.8,6.1,0.5,0.4,0,24.5
Boulder,CO,316782,159112,157670,13.8,78.2,0.8,0.2,4.5,0.1,13.1
Broomfield,CO,64283,31920,32363,12.1,77.6,1,0.3,6.4,0,5.2
Chaffee,CO,18818,10056,8762,10.1,85.3,1.6,0.4,0.8,0,9.6
Cheyenne,CO,2127,1086,1041,14.9,80,0,0,3.1,0.1,11.8
Clear Creek,CO,9257,4752,4505,6.1,89.9,0.9,0.1,0.9,0.2,6.8
Conejos,CO,8147,4084,4063,53.4,43.9,0.3,1.5,0.1,0.1,21.1
Costilla,CO,3628,1958,1670,63.8,32.1,0.4,0.1,1.5,0,29.6
Crowley,CO,5514,3752,1762,30.7,62.4,4.3,1.1,0.4,0,24.6
Custer,CO,4505,2200,2305,4.6,89.7,2.5,1,0,0.1,15.7
Delta,CO,30217,15221,14996,15,81.6,0.6,0.9,0.8,0,16.5
Denver,CO,678467,339400,339067,30.5,53.6,9.2,0.5,3.5,0.1,15.1
Dolores,CO,1736,946,790,4.6,91.3,0,0.8,0,0,14.1
