county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Sanilac,MI,41535,20592,20943,3.7,94.1,0.6,0.3,0.4,0,15
Schoolcraft,MI,8114,3977,4137,1,85.9,0.6,7.1,0.4,0,21.4
Shiawassee,MI,68617,33807,34810,2.9,94.3,0.4,0.2,0.5,0,13.1
St. Clair,MI,159761,79295,80466,3.2,91.3,2,0.1,0.7,0,13.3
St. Joseph,MI,60890,30264,30626,7.5,86.8,2.5,0.2,0.5,0,15.7
Tuscola,MI,53569,26889,26680,3.2,93.7,1.1,0.3,0.3,0,15.9
Van Buren,MI,75190,37397,37793,11.2,81.5,3.1,0.4,0.6,0.1,15.8
Washtenaw,MI,361509,178949,182560,4.5,70.6,11.7,0.2,8.7,0,14.5
Wayne,MI,1763822,848339,915483,5.7,49.7,38.9,0.3,3.1,0,23.7
Wexford,MI,32915,16480,16435,1.8,94.8,0.6,0.5,0.7,0,17.3
Aitkin,MN,15841,8079,7762,1.3,94.1,0.5,2.2,0.4,0,12.1
Anoka,MN,344861,172482,172379,4.2,82.7,5.5,0.5,4.2,0,6.6
Becker,MN,33552,16672,16880,1.9,86.6,0.5,7.4,0.6,0,12.7
Beltrami,MN,45847,22775,23072,2.2,72.5,0.9,20.4,0.8,0.1,19
Benton,MN,39360,19652,19708,2.2,91.5,2.8,0.3,1.1,0,14.1
Big Stone,MN,5039,2489,2550,1.4,98,0.3,0,0,0,11.7
Blue Earth,MN,65767,33054,32713,3.2,88.9,3.3,0.3,2.1,0,18.1
Brown,MN,25243,12550,12693,4.1,93.9,0.3,0.1,0.7,0.1,8.1
Carlton,MN,35408,18500,16908,1.7,88.3,1.6,5.3,0.5,0,12.1
Carver,MN,98799,49086,49713,4.1,89.6,1.5,0.2,2.5,0,4
Cass,MN,28810,14698,14112,2,83.3,0.4,10.9,0.6,0,15.3
Chippewa,MN,12040,5994,6046,6.3,88.8,0.6,1.4,0.7,1,11.1
Chisago,MN,54297,28102,26195,2,93.8,1.3,0.4,1,0,5.4
Clay,MN,62040,30613,31427,4.3,88.5,2.5,1.3,1.1,0,12.5
Clearwater,MN,8824,4485,4339,2,85,0.4,8.4,0.4,0.1,17.9
Cook,MN,5270,2609,2661,2.1,86.1,0.5,8.2,0.8,0,13
Cottonwood,MN,11437,5660,5777,7.1,87.1,0.6,0.5,2.8,0.3,15.6
Crow Wing,MN,63505,31769,31736,1.4,95.1,0.6,1,0.4,0,9.6
Dakota,MN,414655,204016,210639,6.8,79.7,5.6,0.2,4.7,0,6.9
Dodge,MN,20485,10301,10184,4.9,92.5,0.3,0.3,0.7,0,5.7
Douglas,MN,36891,18510,18381,1.5,96.2,0.6,0.3,0.1,0,8.4
Faribault,MN,13966,6975,6991,6.4,91.6,0.2,0.1,0.3,0,11.5
Fillmore,MN,20825,10448,10377,1.4,96.8,0.5,0.1,0.5,0,11.3
Freeborn,MN,30619,15312,15307,9.5,86.3,1.2,0.1,1.8,0,11.8
Goodhue,MN,46138,23014,23124,3.2,92.4,1,1,0.5,0,10.8
Grant,MN,5923,2972,2951,2.1,95.6,0.2,0.2,0.1,0,10.6
Hennepin,MN,1224763,604629,620134,6.9,69.5,12.5,0.5,7,0,11.5
Houston,MN,18709,9371,9338,1,96.3,0.7,0.2,0.5,0,8.9
Hubbard,MN,20743,10411,10332,2,93.1,0.7,2.1,0.6,0,10.8
Isanti,MN,38584,19491,19093,1.8,94.2,0.5,0.3,1,0,7.1
Itasca,MN,45237,22941,22296,1.3,92.1,0.4,3.6,0.4,0,12.6
Jackson,MN,10104,5097,5007,3.4,93.1,0.1,0.1,2.5,0,7.7
Kanabec,MN,15948,8101,7847,1.5,95.2,0.4,0.9,0.5,0,11.6
Kandiyohi,MN,42577,21398,21179,11.9,81.8,4.2,0.2,0.8,0,11.3
Kittson,MN,4384,2226,2158,2.1,96,0.8,0.2,0.4,0,11.2
Koochiching,MN,12776,6384,6392,0.2,93.5,0.9,3.7,0.5,0,17.1
Lac qui Parle,MN,6840,3411,3429,2.1,95.6,1.2,0.2,0.4,0,9.3
Lake,MN,10578,5426,5152,1.4,95.8,1,0.5,0,0,9.3
Lake of the Woods,MN,3841,2016,1825,1.7,93.5,0,0.2,0.8,0,7.4
Le Sueur,MN,27810,14086,13724,5.7,91.7,0.8,0.2,0.4,0,8.8
Lincoln,MN,5724,2882,2842,1.7,96.7,0.3,0.3,0.2,0,11.4
Lyon,MN,25789,12902,12887,6.2,85.4,3.3,0.4,3.6,0,13.7
Mahnomen,MN,5500,2767,2733,3.8,46.2,0.3,40.5,0.5,0.3,22.7
Marshall,MN,9397,4761,4636,4.2,93.7,0.3,0.2,0.3,0,7.8
Martin,MN,20084,10015,10069,4.1,93.6,0.3,0.1,0.9,0,11.3
McLeod,MN,35816,17850,17966,5.8,91.6,0.3,0.2,0.6,0,8.4
Meeker,MN,23105,11697,11408,3.8,94.3,0.6,0.1,0.3,0.1,8.3
Mille Lacs,MN,25635,12847,12788,2.2,89.3,0.4,4.8,0.6,0,11.5
Morrison,MN,32880,16616,16264,1.6,95.9,0.6,0.2,0.5,0,11.4
Mower,MN,39386,19742,19644,11,80.8,3.4,0.1,2.4,0,13
Murray,MN,8394,4178,4216,3.6,93.8,0.6,0.2,1.1,0,8.2
Nicollet,MN,33477,16748,16729,4.3,89.6,3,0.1,1.6,0,11.3
Nobles,MN,21854,11219,10635,26.8,60.8,4.3,0.5,6.3,0,15.8
Norman,MN,6589,3337,3252,5,89.7,0.9,2.1,0.6,0,12
Olmsted,MN,151685,74208,77477,4.8,81.1,5.5,0.2,5.8,0,9.1
Otter Tail,MN,57790,29049,28741,3.2,93,1.4,0.4,0.6,0,9.4
Pennington,MN,14197,7115,7082,3.5,91.1,1.5,1.7,0.9,0,10.3
Pine,MN,29057,15497,13560,2.8,89.6,1.9,2.4,0.5,0.1,13.6
Pipestone,MN,9229,4481,4748,5.9,89.5,1.2,0.8,0.9,0,11.8
Polk,MN,31564,15988,15576,6.2,87.9,1.8,1.1,0.8,0,12.4
Pope,MN,10932,5540,5392,1.3,96.5,0.5,0.3,0.4,0,7.9
Ramsey,MN,537893,261783,276110,7.4,63.1,11.2,0.5,14,0,15
Red Lake,MN,4017,2033,1984,3.5,92.6,0.3,1.4,0.3,0,9.4
Redwood,MN,15430,7819,7611,3.1,87.6,0.8,4.5,3,0,11.8
Renville,MN,14798,7535,7263,8,88.8,0.5,1.2,0.5,0,11
Rice,MN,65251,33283,31968,7.9,83.6,4.7,0.4,2.2,0,11.5
Rock,MN,9433,4641,4792,2.8,94.1,1,0.7,1,0,11
Roseau,MN,15537,8004,7533,1.2,92.4,0.9,1.2,2.6,0,9.2
Scott,MN,141463,70509,70954,4.9,82.3,3.4,0.8,6,0,5.6
Sherburne,MN,92024,46991,45033,2.5,91.9,2.3,0.4,1.1,0,6.4
Sibley,MN,14888,7530,7358,8.6,89.1,0.6,0.2,0.7,0,8.5
St. Louis,MN,200294,100596,99698,1.6,91.4,1.6,1.8,1.1,0,15.4
Stearns,MN,155300,78126,77174,3.2,87.8,5,0.3,2.1,0,13.1
Steele,MN,36612,18225,18387,7.5,87.2,3.2,0.2,0.9,0,9.9
Stevens,MN,9759,4850,4909,5,89.1,0.8,1.7,1.9,0.3,15.4
Swift,MN,9448,4733,4715,4.5,92.5,2.1,0,0.3,0.1,12.2
Todd,MN,24423,12545,11878,5.5,91.7,0.4,0.3,0.4,0,13
Traverse,MN,3357,1663,1694,2.5,90.6,0.6,4,0.3,0,10.9
Wabasha,MN,21490,10729,10761,2.9,94.9,0.4,0,0.4,0,6.1
Wadena,MN,13626,6757,6869,1.8,94.7,1.1,0.7,0.4,0,15
Waseca,MN,18898,8978,9920,5.7,89.4,2.1,0.9,0.6,0,9.2
Washington,MN,250979,124207,126772,3.9,83.7,4.1,0.3,5.4,0.1,5
Watonwan,MN,10936,5511,5425,23.3,74,0.5,0.2,1,0,12.2
Wilkin,MN,6398,3214,3184,0.7,94,0.5,2.6,0,0,9.9
Winona,MN,50992,25183,25809,2.8,91.5,1.5,0.3,2.6,0,14.5
Wright,MN,131130,66046,65084,2.8,93,1.4,0.4,1.2,0,5
Yellow Medicine,MN,9930,5096,4834,4.3,90.2,0.5,2.7,0.6,0,12.5
Adair,MO,25437,12013,13424,2.3,90.5,2.4,0.2,2.3,0.1,26.2
Andrew,MO,17358,8622,8736,2.3,94.9,1.3,0.1,0.1,0,9
Atchison,MO,5335,2642,2693,1.2,96.6,0.4,0.4,0.6,0,12.1
Audrain,MO,25763,11744,14019,2.9,87.1,6.1,0.2,0.2,0,16.7
Barry,MO,35398,17782,17616,9,86.5,0.3,0.6,1.5,0,20.5
Barton,MO,11942,5924,6018,2.5,92.7,0.2,1.9,0.6,0,20.9
Bates,MO,16405,8010,8395,2.1,94.5,1.2,0.4,0.2,0.1,14.3
Benton,MO,18918,9308,9610,1.9,95.3,0.4,0.4,0.1,0,18.6
Bollinger,MO,12347,6180,6167,1.2,96.5,0.4,0.7,0.4,0,19.9
Boone,MO,174589,84812,89777,3.3,79.5,8.5,0.1,4.2,0.1,18.7
Buchanan,MO,89425,44847,44578,6.4,83.8,5.4,0.2,1,0.2,17.3
Butler,MO,42826,20735,22091,2,89,5.4,0.5,0.7,0,21.6
Caldwell,MO,9046,4572,4474,2.1,94.8,0.5,0.4,0.4,0,13.3
Callaway,MO,44793,22801,21992,2,90.2,4.3,0.5,0.8,0,12.3
Camden,MO,44855,22316,22539,2.7,94.5,0.7,0.6,0.6,0,17.5
Cape Girardeau,MO,78013,37860,40153,2.3,86.4,7.9,0.1,1.4,0,17.7
Carroll,MO,8909,4321,4588,1.5,94.9,0.9,0,0.3,0,18.4
Carter,MO,6255,2981,3274,2.3,94.6,0,0.8,0,0,14.5
Cass,MO,101888,50019,51869,4.2,88.5,3.7,0.4,0.8,0,9.5
Cedar,MO,13862,6883,6979,2,95,0,0,0.2,0.2,22.6
Chariton,MO,7586,3768,3818,0.9,95.3,2.2,0.1,0.1,0,14.2
Christian,MO,83028,40265,42763,2.8,93.7,0.6,0.3,0.5,0.1,10.4
Clark,MO,6807,3467,3340,0.5,97.2,0.3,0.2,0.1,0,15.3
Clay,MO,236068,115761,120307,6.6,82.1,5.6,0.3,2.2,0.2,8.9
Clinton,MO,20495,10282,10213,2,93.9,2,0.4,0.3,0,11
Cole,MO,76749,38820,37929,2.8,81.5,11.6,0.3,1.4,0.1,12.6
Cooper,MO,17620,9267,8353,1.8,88.2,6.5,0.3,0.3,0.1,11.2
Crawford,MO,24387,12030,12357,1.9,95.5,0.3,0,0.1,0,20
Dade,MO,7581,3877,3704,2,94,0.4,0.7,0.1,0.1,22.9
Dallas,MO,16441,8117,8324,1.9,94.9,0,0.7,0.2,0,15.7
Daviess,MO,8300,4164,4136,1.5,96.2,0.8,0.7,0.2,0,13.2
DeKalb,MO,12564,8007,4557,2.2,84.2,9.8,0.7,0.2,0.1,12.5
Dent,MO,15566,7774,7792,1.6,94.8,0.4,0.9,0.4,0,20.8
Douglas,MO,13391,6704,6687,1.4,98,0.1,0.1,0.1,0,20.6
Dunklin,MO,30905,14856,16049,6.4,81.1,9.7,0.3,0.4,0,26.6
Franklin,MO,102413,51044,51369,1.7,95.3,0.8,0.2,0.6,0,10.6
Gasconade,MO,14769,7371,7398,1.3,96.2,0.6,0.4,0.2,0,12
Gentry,MO,6688,3225,3463,0.3,96.4,0.9,0.7,0.4,0.1,18.1
Greene,MO,286759,139733,147026,3.5,88.2,3.2,0.4,1.9,0.1,18.5
Grundy,MO,10111,4937,5174,2.1,94.6,0.3,1,0.3,0.1,20.5
Harrison,MO,8615,4280,4335,2.1,95.5,0.8,0.2,0,0,18.3
Henry,MO,21834,10783,11051,2.2,94,1.5,0.7,0.2,0,21.2
Hickory,MO,9352,4547,4805,1.5,95.3,0.1,1.7,0,0.1,23.3
Holt,MO,4499,2239,2260,0.4,96.4,0.3,1.6,0.4,0,12
Howard,MO,10144,5069,5075,1.4,90.8,5.1,0.5,0.2,0.1,16.4
Howell,MO,40139,19656,20483,2.1,94.5,0.3,0.3,0.5,0,22.9
Iron,MO,10286,5114,5172,1.7,94.5,1.5,0.6,0,0,21.2
Jackson,MO,688554,332936,355618,8.8,62.5,23.4,0.4,1.8,0.3,15.9
Jasper,MO,118522,57694,60828,7.7,84.7,2.1,1.4,1.1,0.1,17.3
Jefferson,MO,222639,110772,111867,1.8,94.7,1,0.2,0.8,0,10.9
Johnson,MO,53941,27891,26050,4.1,86.2,4.5,0.6,1.4,0.3,16.2
Knox,MO,3976,2010,1966,1,96.5,0.4,0,0.1,0.4,20.2
Laclede,MO,35488,17562,17926,2.3,93.8,0.5,0.4,0.4,0,17.7
Lafayette,MO,32655,16121,16534,2.7,92.2,2,0.2,0.5,0.1,12.8
Lawrence,MO,38131,19072,19059,7.2,89.7,0.6,0.5,0.5,0,17.1
Lewis,MO,10078,5081,4997,1.7,92.8,2.9,0.6,0.2,0.1,15.2
Lincoln,MO,54800,27365,27435,2.3,93.4,1.9,0.2,0.4,0.1,13.2
Linn,MO,12248,5907,6341,2.1,95.1,0.4,0.2,0.3,0.1,16.5
Livingston,MO,15025,6805,8220,1.7,93,2.8,0.6,0.5,0.2,17.9
Macon,MO,15319,7601,7718,1.3,94,2.3,0.3,0.4,0,17
Madison,MO,12226,6004,6222,2.3,94.9,0.9,0.3,0.4,0,18.8
Maries,MO,8959,4496,4463,2.5,95.8,0.4,0.9,0.2,0,18.9
Marion,MO,28703,13841,14862,1.6,90.2,4.9,0.2,0.7,0.1,18.4
McDonald,MO,22753,11613,11140,11.6,78.4,1.8,2.3,1.4,1.6,19
Mercer,MO,3669,1835,1834,1.7,95.8,0.4,0,0.6,0.1,17.7
Miller,MO,24947,12291,12656,1.8,95,0.4,1.2,0.5,0,16.5
Mississippi,MO,13916,7495,6421,2,71.8,23.9,0.8,0.1,0,31.7
Moniteau,MO,15904,8350,7554,4.6,89.7,3.4,0.7,0,0,11.9
Monroe,MO,8676,4390,4286,1.6,93.3,3.4,0.1,0.2,0.2,13
Montgomery,MO,11618,5798,5820,1.8,94.4,1.4,0.1,0.1,0.2,16.1
Morgan,MO,20097,10028,10069,2.1,94.4,0.8,0.5,0.1,0,25.5
New Madrid,MO,18030,8681,9349,1.8,80,16,0.4,0,0,24.1
Newton,MO,58237,28926,29311,5.1,86.5,0.9,2.3,1.3,0.9,12.9
Nodaway,MO,22744,11302,11442,1.6,92.8,2.6,0.3,1.7,0.3,22.6
Oregon,MO,10779,5261,5518,1.6,94.3,0.2,1,0.8,0,25.3
Osage,MO,13610,7105,6505,0.8,97.5,0.7,0.5,0,0,6.8
Ozark,MO,9328,4665,4663,1.7,95.7,0,0.1,0.3,0,27.6
Pemiscot,MO,17344,8210,9134,2.4,68.9,26.7,0.1,0,0,28.5
Perry,MO,19135,9429,9706,2.1,95.6,0.3,0.5,0.7,0,8.2
Pettis,MO,42309,20777,21532,8.6,85.3,2.8,0.1,0.6,0.1,17.2
Phelps,MO,44873,23605,21268,2.4,89.1,2.5,0.8,3.7,0,20.4
Pike,MO,18517,10202,8315,2.2,88.3,5.9,0.5,0.6,0.1,15.1
Platte,MO,96899,47719,49180,5.8,82,6.6,0.3,2.8,0,7.2
Polk,MO,31347,15257,16090,2.3,93.9,0.6,1,0.1,0.1,14.4
Pulaski,MO,53132,30361,22771,10.9,69.6,11.7,0.7,2.5,0.2,12.8
Putnam,MO,4846,2436,2410,1.1,96.4,0.5,0.2,0.3,0,16.9
Ralls,MO,10208,5170,5038,1.2,95.8,1.3,0.5,0.5,0,13.3
Randolph,MO,24987,13075,11912,2,89,5.7,0.5,0.6,0.1,16.5
Ray,MO,22859,11351,11508,2.3,94,1.5,0.5,0.2,0,15.6
Reynolds,MO,6361,3245,3116,1.4,94.4,1.8,0.7,0.1,0.2,17.3
Ripley,MO,13807,6906,6901,1.3,95.3,0.2,0.4,0,0.4,23.4
Saline,MO,23010,11372,11638,9.7,81.1,4.7,0.3,0.8,0.9,17.3
Schuyler,MO,4450,2204,2246,0.7,97.3,0.8,0,0,0,18.4
Scotland,MO,4883,2382,2501,0.3,97.5,1.7,0,0,0,16.7
Scott,MO,38858,18844,20014,2.2,83.6,11.4,0.5,0.4,0,20.1
Shannon,MO,8273,4048,4225,1.8,94.2,0.1,1.4,0,0,30.5
Shelby,MO,6084,3053,3031,1.7,95.9,2,0,0.1,0,15.5
St. Charles,MO,385115,189365,195750,3.2,87.7,4.2,0.1,2.3,0,5.7
St. Clair,MO,9396,4744,4652,1,94.5,0.9,0.7,0.2,0,22.2
St. Francois,MO,66248,35790,30458,1.5,92,4.3,0.2,0.5,0,15.4
St. Louis,MO,999539,474110,525429,2.8,66.9,23.7,0.2,4,0,9.8
St. Louis city,MO,314867,152224,162643,3.9,42.9,47.5,0.2,3.1,0,25
Ste. Genevieve,MO,17882,8934,8948,1.1,95.7,2.6,0,0.1,0,16.6
Stoddard,MO,29634,14405,15229,1.6,95.6,1.5,0.1,0.1,0,16.8
Stone,MO,31529,15426,16103,2.1,95.1,0.2,1.1,0.1,0.1,12.8
Sullivan,MO,6382,3187,3195,18.5,77.5,1.8,0.4,0.4,0,15.9
Taney,MO,54308,26360,27948,5.6,89.4,1,0.8,0.9,0.1,17.1
Texas,MO,25714,13248,12466,2,91.2,2,2.2,0.2,0,25.3
Vernon,MO,20665,10060,10605,2.1,94.1,1.1,0.6,0.6,0,15.2
Warren,MO,33554,16773,16781,3.2,92,2.3,0.5,0.4,0.2,12.8
Washington,MO,24968,12855,12113,1.3,94.4,2.4,0.2,0,0,20.2
Wayne,MO,13369,6597,6772,1.6,95.3,0.6,0.4,0.1,0,23.4
Webster,MO,37558,19170,18388,2,94.5,1.2,0.3,0.3,0.2,18.4
Worth,MO,2053,999,1054,1.2,96.7,0.3,0.1,0.3,0,15
Wright,MO,18304,9012,9292,1.7,95.3,0.6,0.2,0.5,0,25
Adams,MS,31583,15680,15903,8.4,36.9,52.8,0.2,0.6,0,34.2
Alcorn,MS,37242,18345,18897,3,83.2,11.7,0,0.3,0,19.6
Amite,MS,12574,6133,6441,0.2,57.3,42,0,0.3,0,22.8
Attala,MS,18731,8860,9871,2,54,42.2,0.1,0.4,0,22.6
Benton,MS,8306,4257,4049,2.5,60.2,36.6,0,0,0,20.2
Bolivar,MS,33121,15613,17508,2.1,32.4,64.2,0.3,0.9,0,37.4
Calhoun,MS,14617,6994,7623,5.7,65,27.2,0,0.2,0.3,26.9
Carroll,MS,10221,5157,5064,0.5,64.3,33.5,0.1,0.7,0,14
Chickasaw,MS,17305,8393,8912,4.4,50.5,43.3,0.1,0.1,0,22.9
Choctaw,MS,8360,4100,4260,0.5,67.6,30.9,0.5,0.1,0.1,24.5
Claiborne,MS,9106,4269,4837,0.4,12.1,86.9,0.2,0.4,0,45.9
Clarke,MS,16089,7575,8514,0.9,63.4,35.1,0.1,0,0,18.5
Clay,MS,19990,9273,10717,0.6,39.2,59,0.3,0.7,0,26.6
Coahoma,MS,24296,11202,13094,0.1,21.6,77.1,0.1,0.5,0,36.2
Copiah,MS,28748,13762,14986,3,44.4,51.7,0,0.2,0,24.3
Covington,MS,19172,9219,9953,2.4,60.7,35.6,0,0.2,0.1,23.1
DeSoto,MS,173267,83838,89429,4.8,66.6,25.3,0.1,1.2,0,9.8
Forrest,MS,75835,36106,39729,3,57.1,36.8,0.2,0.9,0,26.3
Franklin,MS,7772,3752,4020,0.8,63.2,36,0,0,0,17.9
George,MS,23545,11894,11651,2.7,87.4,7.7,0.5,0.9,0,14.7
Greene,MS,13801,8077,5724,1.1,72.1,25.6,0.2,0,0,15.1
Grenada,MS,21379,10097,11282,0.4,55.1,43.2,0.3,0,0,24.2
Hancock,MS,46277,22527,23750,3.8,84.9,8.7,0.3,0.2,0,17.2
Harrison,MS,200491,98928,101563,5.3,64.6,24,0.5,3,0,20.5
Hinds,MS,243249,113633,129616,1.5,25.3,71.6,0.1,0.8,0,23.9
Holmes,MS,18267,8707,9560,0.3,15.6,83.1,0,0.3,0,46.5
Humphreys,MS,8678,4108,4570,2.9,21.3,75.5,0.2,0.2,0,40.5
Issaquena,MS,1296,761,535,1.2,34,64.9,0,0,0,40.3
Itawamba,MS,23439,11651,11788,1.5,90.5,7.4,0,0.2,0,18.4
Jackson,MS,141314,69696,71618,5.9,68.3,21.6,0.3,2.2,0,15.3
Jasper,MS,16547,8008,8539,0,45.1,54.1,0,0,0,22.8
Jefferson,MS,7463,3671,3792,0.1,13.1,86.4,0,0.4,0,47
Jefferson Davis,MS,11639,5671,5968,0.3,37.9,61.6,0,0,0,32.5
Jones,MS,68328,33332,34996,4.3,64.9,29,0.2,0.5,0.1,21.6
Kemper,MS,10082,4970,5112,1.7,34.2,60.3,3.7,0,0,31.8
Lafayette,MS,52744,25611,27133,2.5,70,23.8,0.1,2.1,0,25.3
Lamar,MS,60517,29006,31511,2.5,74.7,20,0.1,1.4,0,16.3
Lauderdale,MS,78221,38002,40219,2.2,53.1,42.8,0.1,0.7,0,21.5
Lawrence,MS,12659,6150,6509,0.5,65.4,33.2,0,0,0,19.8
Leake,MS,22936,11534,11402,4.4,47.4,41.9,5.8,0.2,0,25.1
Lee,MS,84840,40635,44205,2.6,66.4,28.9,0.2,0.8,0,17.3
Leflore,MS,30113,14013,16100,2.6,22.9,73.2,0,0.7,0,40.3
Lincoln,MS,34542,16495,18047,1.1,67.2,30.8,0,0.7,0,23.6
Lowndes,MS,59558,28531,31027,2,52.2,43.5,0.2,1,0,21.1
Madison,MS,102212,48966,53246,2.9,55.6,38.2,0.2,2.5,0,12
Marion,MS,25466,12421,13045,1.5,65,32.1,0.3,0.3,0.1,25.9
Marshall,MS,35981,17793,18188,3.5,47.7,47.6,0.1,0.1,0,17.8
Monroe,MS,35967,17148,18819,1.2,67,30.1,0,0.2,0,19.2
Montgomery,MS,10309,4769,5540,2.3,52.4,42,0,0.3,0,25.6
Neshoba,MS,29437,14095,15342,1.9,58.9,20.9,15.7,0.4,0,22.1
Newton,MS,21437,10043,11394,1.8,61.5,30,5.1,0.5,0,23
Noxubee,MS,10942,5206,5736,1.4,25.9,72.1,0.2,0,0,34.9
Oktibbeha,MS,49392,24860,24532,1.6,56.9,37.1,0.1,2.9,0,29.8
Panola,MS,34229,16553,17676,1.7,47.3,50.1,0.1,0,0,20.5
Pearl River,MS,55049,27106,27943,3,81.9,12.9,0.1,0.3,0,17.9
Perry,MS,12047,5858,6189,1.4,77.4,19.8,0,0.1,0,19.9
Pike,MS,39763,18890,20873,1.6,44,53.1,0.5,0.5,0,32.3
Pontotoc,MS,31075,15346,15729,6.2,77.2,14.8,0,0.8,0,17
Prentiss,MS,25389,12360,13029,1.4,83.1,13.4,0,0.1,0,22.5
Quitman,MS,7537,3618,3919,1.3,27.2,71,0,0.1,0,37.5
Rankin,MS,149645,72198,77447,2.6,74.9,20,0.1,1.2,0,8.5
Scott,MS,28399,13781,14618,10.8,49.9,38.5,0.5,0.3,0,27.8
Sharkey,MS,4631,2177,2454,0.6,26.9,71.9,0.1,0.4,0,29
Simpson,MS,27215,13234,13981,0.5,61.6,36.5,0,0.2,0,27.1
Smith,MS,16114,7838,8276,1.6,74.3,23.6,0,0,0,18.2
Stone,MS,17981,9096,8885,1.9,76.8,19.2,0.4,0,0,17.3
Sunflower,MS,26915,14114,12801,1.6,24.2,73.7,0.1,0.1,0,32.5
Tallahatchie,MS,14552,8496,6056,15,35.4,47.2,0.4,1.5,0.2,28.3
Tate,MS,28333,13879,14454,2.5,64.8,30,0.1,0.3,0.1,19.3
Tippah,MS,21993,10762,11231,4.7,77.3,16.6,0,0.5,0.1,22.8
Tishomingo,MS,19476,9400,10076,2.9,93.4,2.5,0.3,0.1,0,18.6
Tunica,MS,10276,4818,5458,0.7,19.5,78.5,0,0.9,0,27
Union,MS,28202,13727,14475,4.2,78.6,14.8,0,0.9,0.2,18.2
Walthall,MS,14670,7186,7484,0.6,52.7,45.7,0,0.5,0,26.3
Warren,MS,47510,22609,24901,0.6,47.7,50.2,0.1,0.5,0,23.7
Washington,MS,48002,22520,25482,1.5,25.5,71.7,0.1,0.6,0,33.7
Wayne,MS,20458,10011,10447,0.6,57.8,40.5,0.3,0.1,0,24.3
Webster,MS,9868,4832,5036,1.5,78,19.2,0.2,0.2,0,25.3
Wilkinson,MS,9084,4826,4258,0.3,27.9,71,0,0.1,0,38.7
Winston,MS,18482,8998,9484,1.2,50.3,47,1.2,0,0,25.3
Yalobusha,MS,12426,6101,6325,1.5,58.3,39.7,0.2,0.2,0,22.6
Yazoo,MS,27496,14846,12650,5.6,35.8,56.4,0.2,0.4,0,36.5
Beaverhead,MT,9360,4694,4666,4.2,91.3,0.1,2,0.6,0,16.1
Big Horn,MT,13290,6566,6724,5.6,27.7,0.1,65,0.1,0,26.8
Blaine,MT,6646,3316,3330,2.5,46.2,0.2,49.1,0,0.2,32.7
Broadwater,MT,5755,2896,2859,2.6,94.4,0.1,1.5,0,0,7.8
Carbon,MT,10466,5271,5195,2.4,94.6,0.2,0.8,0.3,0,9.9
Carter,MT,1320,660,660,0.3,97.7,0,0.4,0,0,11.8
Cascade,MT,81816,41259,40557,4.2,85.8,1.3,4.2,0.8,0.1,13.1
Chouteau,MT,5812,2884,2928,2.3,76.5,0.1,19.1,0.4,0,20.3
Custer,MT,11895,5916,5979,3.2,92.4,0.5,1.3,0.4,0,9.8
Daniels,MT,1788,926,862,2.8,96.6,0,0.6,0,0,4.6
Dawson,MT,9324,4869,4455,3,92.6,0.5,2.1,0.4,0,12.3
Deer Lodge,MT,9131,4778,4353,3.3,90.5,0.4,1.3,0.5,0,18.8
Fallon,MT,2925,1526,1399,1.8,93.8,1.4,0.5,1,0,5.8
Fergus,MT,11327,5701,5626,2.2,94.4,0.1,1,0.8,0.7,14.7
Flathead,MT,96147,47965,48182,2.6,93.2,0.3,1.3,0.5,0,13.6
Gallatin,MT,100733,52057,48676,3.3,92.3,0.3,0.9,1.3,0,13
Garfield,MT,1086,560,526,0.2,99.8,0,0,0,0,5.1
Glacier,MT,13677,6888,6789,2.8,31.1,0.3,64.1,0.3,0.1,33.1
Golden Valley,MT,747,373,374,8.7,85.7,0,0,0,0,18.2
Granite,MT,3206,1622,1584,2.2,94.6,0.1,0.4,0.1,0,9.9
Hill,MT,16468,8332,8136,3.5,70.2,0.3,22.7,0.4,0,21.2
Jefferson,MT,11625,5955,5670,2.3,93,0.1,1.4,0.2,0,9.9
Judith Basin,MT,1965,1047,918,2.3,95.6,0,1.4,0,0,13.9
Lake,MT,29518,14595,14923,4.3,65.5,0.2,23.6,0.3,0.1,20.9
Lewis and Clark,MT,66290,32898,33392,3.1,91.7,0.3,1.8,0.6,0.1,11.4
Liberty,MT,2245,1144,1101,0.9,98.6,0,0,0,0,13.9
Lincoln,MT,19249,9634,9615,2.7,93.2,0.1,1,0.4,0,16.4
Madison,MT,7902,4070,3832,3.4,93.8,0.3,0.5,0.1,0,10.6
McCone,MT,1728,923,805,3.2,88.8,0,6.9,0.5,0,7.7
Meagher,MT,2000,972,1028,4.1,93.5,0,1.2,0,0,15.8
Mineral,MT,4194,2121,2073,1.3,96.5,0.2,0.3,0.7,0,20.1
Missoula,MT,114231,57590,56641,3.1,89.8,0.4,2.5,1.4,0,15.9
Musselshell,MT,4766,2368,2398,2.4,92.9,0.8,0.7,1.5,0,17.4
Park,MT,16001,7994,8007,2.7,93.9,0.3,0.6,0.1,0.1,13.4
Petroleum,MT,453,235,218,0,98.5,0,0,1.5,0,10.1
Phillips,MT,4139,2096,2043,2.3,84.8,0,11,0.4,0,18
Pondera,MT,6081,3004,3077,1.9,81.5,0.4,14.3,0.3,0,19
