year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2020,ALASKA,AK,DISTRICT 8,DONALD J TRUMP,REPUBLICAN,7618,9912,0.768563358
2020,ALASKA,AK,DISTRICT 8,JOSEPH R BIDEN JR,DEMOCRAT,1953,9912,0.197033898
2016,ALASKA,AK,DISTRICT 9,DONALD TRUMP,REPUBLICAN,6100,8954,0.681259772
2016,ALASKA,AK,DISTRICT 9,HILLARY CLINTON,DEMOCRAT,1843,8954,0.205829797
2020,ALASKA,AK,DISTRICT 9,DONALD J TRUMP,REPUBLICAN,7787,10993,0.708359865
2020,ALASKA,AK,DISTRICT 9,JOSEPH R BIDEN JR,DEMOCRAT,2769,10993,0.251887565
2016,ALASKA,AK,DISTRICT 10,DONALD TRUMP,REPUBLICAN,6255,9040,0.691924779
2016,ALASKA,AK,DISTRICT 10,HILLARY CLINTON,DEMOCRAT,1808,9040,0.2
2020,ALASKA,AK,DISTRICT 10,DONALD J TRUMP,REPUBLICAN,8081,11205,0.721195895
2020,ALASKA,AK,DISTRICT 10,JOSEPH R BIDEN JR,DEMOCRAT,2727,11205,0.243373494
2016,ALASKA,AK,DISTRICT 11,DONALD TRUMP,REPUBLICAN,6444,9689,0.665084116
2016,ALASKA,AK,DISTRICT 11,HILLARY CLINTON,DEMOCRAT,2142,9689,0.221075446
2020,ALASKA,AK,DISTRICT 11,DONALD J TRUMP,REPUBLICAN,7096,10628,0.667670305
2020,ALASKA,AK,DISTRICT 11,JOSEPH R BIDEN JR,DEMOCRAT,3130,10628,0.294505081
2016,ALASKA,AK,DISTRICT 12,DONALD TRUMP,REPUBLICAN,6629,9543,0.69464529
2016,ALASKA,AK,DISTRICT 12,HILLARY CLINTON,DEMOCRAT,1928,9543,0.202032904
2020,ALASKA,AK,DISTRICT 12,DONALD J TRUMP,REPUBLICAN,7893,11238,0.702349172
2020,ALASKA,AK,DISTRICT 12,JOSEPH R BIDEN JR,DEMOCRAT,2957,11238,0.263125111
2016,ALASKA,AK,DISTRICT 13,DONALD TRUMP,REPUBLICAN,4028,6533,0.616562069
2016,ALASKA,AK,DISTRICT 13,HILLARY CLINTON,DEMOCRAT,1684,6533,0.257768253
2020,ALASKA,AK,DISTRICT 13,DONALD J TRUMP,REPUBLICAN,4652,7713,0.60313756
2020,ALASKA,AK,DISTRICT 13,JOSEPH R BIDEN JR,DEMOCRAT,2666,7713,0.345650201
2016,ALASKA,AK,DISTRICT 14,DONALD TRUMP,REPUBLICAN,5978,10420,0.573704415
2016,ALASKA,AK,DISTRICT 14,HILLARY CLINTON,DEMOCRAT,3043,10420,0.292034549
2020,ALASKA,AK,DISTRICT 14,DONALD J TRUMP,REPUBLICAN,6714,11443,0.586734248
2020,ALASKA,AK,DISTRICT 14,JOSEPH R BIDEN JR,DEMOCRAT,4261,11443,0.372367386
2016,ALASKA,AK,DISTRICT 15,DONALD TRUMP,REPUBLICAN,2525,4982,0.506824568
2016,ALASKA,AK,DISTRICT 15,HILLARY CLINTON,DEMOCRAT,1828,4982,0.366920915
2020,ALASKA,AK,DISTRICT 15,DONALD J TRUMP,REPUBLICAN,2671,5559,0.480482101
2020,ALASKA,AK,DISTRICT 15,JOSEPH R BIDEN JR,DEMOCRAT,2622,5559,0.471667566
2016,ALASKA,AK,DISTRICT 16,DONALD TRUMP,REPUBLICAN,3203,7436,0.430742335
2016,ALASKA,AK,DISTRICT 16,HILLARY CLINTON,DEMOCRAT,3294,7436,0.442980097
2020,ALASKA,AK,DISTRICT 16,DONALD J TRUMP,REPUBLICAN,3516,8118,0.433111604
2020,ALASKA,AK,DISTRICT 16,JOSEPH R BIDEN JR,DEMOCRAT,4274,8118,0.526484356
2016,ALASKA,AK,DISTRICT 17,DONALD TRUMP,REPUBLICAN,2618,6788,0.385680613
2016,ALASKA,AK,DISTRICT 17,HILLARY CLINTON,DEMOCRAT,3290,6788,0.484678845
2020,ALASKA,AK,DISTRICT 17,DONALD J TRUMP,REPUBLICAN,2810,7239,0.388175162
2020,ALASKA,AK,DISTRICT 17,JOSEPH R BIDEN JR,DEMOCRAT,4136,7239,0.571349634
